;;Cot SHIFT;ZC SHIFT;B(0,T)
MM;0,25;3,0698%;3,0581%;0,992384019
MM;0,50;2,6191%;2,6021%;0,987073719
MM;0,75;2,3958%;2,3745%;0,982348717
MM;1,00;2,2979%;2,2719%;0,977537139
FUT;1,25;97,8691%;2,2426%;0,972357242
FUT;1,50;97,7094%;2,2495%;0,966820787
FUT;1,75;97,4981%;2,2844%;0,960811246
FUT;2,00;97,2911%;2,3363%;0,95434817
FUT;2,25;97,0984%;2,3980%;0,947475179
FUT;2,50;96,9711%;2,4599%;0,94035453
FUT;2,75;96,8436%;2,5221%;0,932992214
SWAP;3,00;2,6112%;2,5846%;0,925391508
SWAP;4,00;2,8117%;2,7870%;0,894509986
SWAP;5,00;2,9680%;2,9461%;0,863031259
SWAP;6,00;3,1107%;3,0932%;0,830610852
SWAP;7,00;3,2313%;3,2190%;0,798250476
SWAP;8,00;3,3382%;3,3321%;0,766004922
SWAP;9,00;3,4385%;3,4400%;0,733743553
SWAP;10,00;3,5312%;3,5414%;0,701778886
SWAP;11,00;3,6197%;3,6399%;0,67005613
SWAP;12,00;3,7003%;3,7313%;0,639058473
SWAP;13,00;3,7668%;3,8071%;0,609614812
SWAP;14,00;3,8201%;3,8681%;0,581858518
SWAP;15,00;3,8624%;3,9161%;0,555759134
SWAP;16,00;3,8952%;3,9527%;0,531296968
SWAP;17,00;3,9189%;3,9779%;0,508521064
SWAP;18,00;3,9337%;3,9917%;0,487483501
SWAP;19,00;3,9400%;3,9938%;0,468217317
SWAP;20,00;3,9380%;3,9843%;0,450739204
SWAP;21,00;3,9282%;3,9637%;0,435010557
SWAP;22,00;3,9125%;3,9345%;0,420807201
SWAP;23,00;3,8929%;3,8995%;0,40783625
SWAP;24,00;3,8714%;3,8621%;0,395780698
SWAP;25,00;3,8501%;3,8253%;0,384302788
SWAP;26,00;3,8307%;3,7918%;0,373112952
SWAP;27,00;3,8132%;3,7615%;0,362180069
SWAP;28,00;3,7969%;3,7336%;0,351545014
SWAP;29,00;3,7816%;3,7073%;0,34125447
SWAP;30,00;3,7668%;3,6818%;0,331360258
